Kapitelüberschriften;Nummerierung;H-003;H-005;H-021;H-016;H-001;H-015;H-012;H-006;H-007;dis H-003 H-005;dis H-003 H-021;dis H-003 H-016;dis H-003 H-001;dis H-003 H-015;dis H-003 H-012;dis H-003 H-006;dis H-003 H-007;dis H-005 H-021;dis H-005 H-016;dis H-005 H-001;dis H-005 H-015;dis H-005 H-012;dis H-005 H-006;dis H-005 H-007;dis H-021 H-016;dis H-021 H-001;dis H-021 H-015;dis H-021 H-012;dis H-021 H-006;dis H-021 H-007;dis H-016 H-001;dis H-016 H-015;dis H-016 H-012;dis H-016 H-006;dis H-016 H-007;dis H-001 H-015;dis H-001 H-012;dis H-001 H-006;dis H-001 H-007;dis H-015 H-012;dis H-015 H-006;dis H-015 H-007;dis H-012 H-006;dis H-012 H-007;dis H-006 H-007
;10;I ch wil ſcriben reȳne maget;ch wil ſcribē reinev magt‧;ick wyl ſcriuen ꝛeyne maget~;Jch wyl ſchrib rey͛ maget;Ich wil ſchriben reyne mayt;I ch wil ſchreiben rainev mait.;Ich wil ſchriuē reyne maghet;;;0.29;0.25;0.32;0.18;0.23;0.25;1;1;0.39;0.38;0.3;0.3;0.29;1;1;0.36;0.29;0.43;0.29;1;1;0.3;0.43;0.25;1;1;0.2;0.21;1;1;0.37;1;1;1;1;1
;11;A lles daʒ die ſcrift vns ſaget;Alleʒ daz dev ſchrift vns ſagt‧;allent dat de hilge ſcꝛifft vns ſaget~;Als was dy heyllige ſchrif ſagg;Alles das die ſchrifft vns ſayt;alles daʒ vnd die ſchriſt ſait.;ſwut de heylghe ſcriſt ſaghet;;;0.26;0.32;0.68;0.19;0.42;0.61;1;1;0.37;0.68;0.23;0.48;0.71;1;1;0.58;0.34;0.53;0.55;1;1;0.61;0.52;0.52;1;1;0.39;0.74;1;1;0.57;1;1;1;1;1
;12;V on diner groʒʒen heilikeit;Von diner grozen heilikeit‧;van dineꝛ groten hillicheit~;Dy gar weyt iſt vnd breyt;von dyner groſſen heylikeyt;V on demer groʒʒen heilichait.;vā dyner grotē hillichcyt;;;0.14;0.36;0.82;0.21;0.17;0.5;1;1;0.29;0.85;0.22;0.31;0.48;1;1;0.86;0.39;0.38;0.32;1;1;0.78;0.86;0.84;1;1;0.34;0.41;1;1;0.45;1;1;1;1;1
;13;V nde dines libes reȳnekeit;Vn̄ dines leibes reinikeit‧;;von deyner groſſen̄ heylikeyt;vnde dynes libes reynikeit;vnd deines leibes ramichait.;vnd dynes liues reynicheit;;;0.26;1;0.62;0.15;0.37;0.3;1;1;1;0.59;0.22;0.33;0.3;1;1;1;1;1;1;1;1;0.52;0.66;0.55;1;1;0.37;0.15;1;1;0.3;1;1;1;1;1
;14;W aʒ ich gehoꝛet han vn̄ geleſen;Swaz ich gehoꝛt han vn̄ geleſē‧;wat ik ghe hoꝛet han vnde ge leſen~;was ich ge lierf hort han vnd geſehen;das ich gehoret han vnde geleſen;w aʒ ich geboret han vnd geleſen.;wat ich ghehort han vn̄d leſen;;;0.19;0.29;0.38;0.19;0.09;0.25;1;1;0.37;0.41;0.28;0.28;0.29;1;1;0.43;0.26;0.31;0.31;1;1;0.32;0.35;0.32;1;1;0.16;0.25;1;1;0.25;1;1;1;1;1
;15;v on dir wa ich bȳn geweſen;Von dir ſwa ich pin geweſen‧;van dy woꝛ ick bin ge weʒen~;Von dir vnd wo ich bin gewesn̄;von dir vnde ich byn geweſen;von dir wo ich pin geweſen.;vā dy wo ik byn gheweſen;;;0.18;0.39;0.33;0.21;0.15;0.37;1;1;0.39;0.3;0.25;0.11;0.43;1;1;0.43;0.43;0.32;0.32;1;1;0.23;0.27;0.5;1;1;0.21;0.39;1;1;0.35;1;1;1;1;1
;16;Daʒ wil ich alle der werlde kuͦnden;Daz wil ich alder w͛lde kvndē‧;dat wil ik alle deꝛ weꝛlde cundyghen~;Das wil ich aller werlt kund;Das wil ich aller werlde kunden;D aʒ wil ich alle der werld chvnden.;Dat wil ik alder werlde kūden;;;0.29;0.3;0.26;0.14;0.14;0.26;1;1;0.46;0.3;0.23;0.34;0.3;1;1;0.46;0.35;0.35;0.32;1;1;0.13;0.31;0.34;1;1;0.26;0.19;1;1;0.34;1;1;1;1;1
;17;d aʒ duͦ frauwe von minen ſuͦnden;Daz dv vrowe vō minē ſvnden;Dat du vꝛouwe van mynen ʒunden~;Das du fraw von meynen ſund;das du frauwe von mynen ſünden;daʒ du frawe von meinen fvnden.;Dat du vrowe van mynē ſūden;;;0.39;0.33;0.3;0.18;0.21;0.39;1;1;0.39;0.52;0.37;0.33;0.26;1;1;0.39;0.26;0.35;0.26;1;1;0.2;0.23;0.44;1;1;0.2;0.3;1;1;0.37;1;1;1;1;1
;18;G enedecliche helſes mir;Genædichlich helfeſt mir‧;gnede licken helppeſt myꝛ~;Gnedicklichen helfeſt mir;genegdiklichen helfeſt mir;G enædich leichen helfeſt mir.;Gnedelikē helpeſt myr;;;0.36;0.46;0.32;0.31;0.31;0.42;1;1;0.5;0.24;0.27;0.21;0.4;1;1;0.35;0.38;0.45;0.27;1;1;0.12;0.21;0.36;1;1;0.24;0.38;1;1;0.48;1;1;1;1;1
;19;W ant aller min troſt der ſtet an dir;Wan alle min troſt d͛ ſtet ā dir‧;wente alle myn tꝛoſt de licht andir~;wen alle meȳn troſt leyt andir;Wan aller myn troſt ſtet an dir;wan aller mein troſt ſtet an dir;Went al mȳ troſt deleghet an dyr;;;0.22;0.35;0.38;0.19;0.19;0.32;1;1;0.36;0.39;0.24;0.24;0.45;1;1;0.33;0.39;0.44;0.36;1;1;0.26;0.25;0.44;1;1;0.06;0.44;1;1;0.47;1;1;1;1;1
;20;Reȳne maria nuͦ bẏt ich dich;Rainev Maꝛia nv bit ich dich‧;;Reyn mägt nu bit ich dich;Reyne maria nu bit ich dich;R amev maria nv bit ich dich.;reyne maghet nu bidde ik dik;;;0.28;1;0.29;0.11;0.25;0.5;1;1;1;0.34;0.21;0.17;0.55;1;1;1;1;1;1;1;1;0.19;0.36;0.39;1;1;0.18;0.39;1;1;0.57;1;1;1;1;1
;21;D aʒ duͦ wolles leren mich;Daz dv gervͦchſt hoꝛen mich‧;Dat du willeſt leꝛen my~;das du welſt leren micht;das du wolleſt leren mich;daʒ wolleſt leren mich.;dat du willeſt leren mik;;;0.61;0.38;0.31;0.19;0.27;0.31;1;1;0.54;0.43;0.46;0.5;0.54;1;1;0.38;0.24;0.38;0.12;1;1;0.16;0.29;0.29;1;1;0.16;0.16;1;1;0.29;1;1;1;1;1
;22;d aʒ ich dit buͦch vol brengē muͦʒʒe;Daz ich ditz bvͦchleī vol b̾ngē muͤʒ‧;dat ik bock vul bꝛingen mote~;Das ich dich vo͛ brengen muſſe;das ich daʒ buche vollenbregen muße;D aʒ ich ditʒ pnech vol bringē moʒʒe.;Dat ik dyt boul bouk vullē brīgē mok;;;0.32;0.58;0.36;0.42;0.19;0.61;1;1;0.62;0.49;0.49;0.38;0.59;1;1;0.47;0.57;0.56;0.56;1;1;0.37;0.42;0.75;1;1;0.5;0.58;1;1;0.64;1;1;1;1;1
;23;Des hielf mir reẏne maget ſuͦʒʒe;Des hilf vor rainev magt ſvͤʒ‧;des helpp my ꝛeyne maget ſotte~;das toſ helf mir reyne magt ſuſſe;des hilff mir reyne mayt ſuße;des hilf miͤr rainev magt fuͤʒʒe.;Des help myreÿne mag ſote;;;0.34;0.38;0.33;0.25;0.25;0.41;1;1;0.52;0.45;0.37;0.22;0.47;1;1;0.45;0.39;0.53;0.26;1;1;0.3;0.42;0.42;1;1;0.31;0.38;1;1;0.47;1;1;1;1;1
;24;;Ein bvͦch habēt die devtſchē h͛rē;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
;25;;Daz wart in geſant vō verren‧;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
;26;;Dar ab wart geſchriben ditz‧;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
;27;d it buͦch han ich geſant;;dyt bockelin han ik ge ʒand~;das buchley han ich geſant;diʒ buchelin han ich geſant;D iʒ buechelin han ich geſant;Dat boukelin han ik gheſant;;;1;0.54;0.27;0.26;0.21;0.41;1;1;1;1;1;1;1;1;1;0.46;0.36;0.41;0.25;1;1;0.19;0.24;0.33;1;1;0.07;0.3;1;1;0.34;1;1;1;1;1
;28;D en bruͦderen die da ſint genant;;den bꝛodeꝛen de daꝛ ſint ghe nand.;Den brude͛n dy do ſeynt genant;den brudern die da ſynt genant;den bruͦdern die da ſint genat.;Den brodern de dar myt ghenant;;;1;0.3;0.27;0.12;0.09;0.3;1;1;1;1;1;1;1;1;1;0.36;0.3;0.33;0.27;1;1;0.17;0.27;0.3;1;1;0.1;0.2;1;1;0.3;1;1;1;1;1
;29;V on dein thuſchen huͦſe vn̄ ſint;;van deme dudeſcen hus vnde ſint~;von den tuſchen hvs;von tuteſhem huſe vnde auch ſynt;V on dem tevſchen hous vnd ſint.;van deme dudeſchen hus vnd ſynt;;;1;0.45;0.45;0.58;0.27;0.39;1;1;1;1;1;1;1;1;1;0.59;0.59;0.34;0.12;1;1;0.66;0.48;0.52;1;1;0.56;0.56;1;1;0.29;1;1;1;1;1
;30;Marien richtere vn̄ ein kint;;vnde ʒint maꝛie ridder vn ʒy cynt~;Maria ritte͛ dy ein kint;marien ritter dye ein kint;marien ritter die ein chint.;maien riddē de eyn kynt;;;1;0.68;0.32;0.21;0.29;0.43;1;1;1;1;1;1;1;1;1;0.68;0.68;0.68;0.59;1;1;0.15;0.26;0.42;1;1;0.11;0.31;1;1;0.37;1;1;1;1;1
;31;V on dein heilgen geiſte gewan;;van deme hilgen geiſte wan~;Von dem geheyligen geiſt gewan;von dem heyligem geiſte gewan;V on dem heiligen geiſte gewan.;van dem hilghē geyſte ghewan;;;1;0.27;0.27;0.2;0.1;0.3;1;1;1;1;1;1;1;1;1;0.37;0.31;0.27;0.29;1;1;0.13;0.17;0.37;1;1;0.1;0.28;1;1;0.27;1;1;1;1;1
;32;Maget weſen ane man;;maget weʒende ane man~;maget weſen̄ an man;mayt weſen ane man;maget weſent ane man.;maghet gheweſen ane man;;;1;0.18;0.11;0.11;0.05;0.17;1;1;1;1;1;1;1;1;1;0.23;0.27;0.18;0.35;1;1;0.21;0.1;0.26;1;1;0.15;0.26;1;1;0.22;1;1;1;1;1
;33;d it heiʒʒit marien leben;;Dat bock het ʒunte maꝛigen leuent~;Dys buch heiſt maria leben;diʒ buche heiſſet marien leben;D aʒ puech heiʒʒe ſand marien le;dat buk het ſūte marien leuē;;;1;0.47;0.42;0.33;0.53;0.46;1;1;1;1;1;1;1;1;1;0.5;0.47;0.62;0.32;1;1;0.23;0.53;0.46;1;1;0.47;0.4;1;1;0.47;1;1;1;1;1
;34;Die muͦʒʒe vns ewige fraude geben;;de mote vns ewyge vꝛoude geuen~;Dy muß uns ewige frewde geben;Got muſſe vns ewige freude geben;di mvʒʒ vns ewige freude geben.;De moute vns ewighe vroude gheuē;;;1;0.33;0.27;0.21;0.15;0.36;1;1;1;1;1;1;1;1;1;0.39;0.38;0.32;0.25;1;1;0.25;0.2;0.41;1;1;0.22;0.41;1;1;0.38;1;1;1;1;1
;35;;;;;;;Oſer leuē vrouwē marien leuet;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1.1 Kinderlosigkeit;36;Uns leret daʒ buͦch alden · e ·;;Uns leret dyt bock deꝛ olden ee d;Vs lert diʒ buch de͛ altn̄ ee;Vns lert das buch die alten e;na leret daʒ puech der alten e.;s lart dat buk der olden ee;;;1;0.39;0.48;0.42;0.39;0.48;1;1;1;1;1;1;1;1;1;0.42;0.39;0.42;0.3;1;1;0.28;0.33;0.38;1;1;0.27;0.38;1;1;0.4;1;1;1;1;1
;37;Daʒ indeine lande ʒuͦ galile;;Dat yn dene lande to galilee~;Das in dē land ʒu galiee;das in dem ſy lande ʒu galylee;daʒ in dem lande ʒe galile.;Dat in dem lande to galilee;;;1;0.31;0.32;0.3;0.21;0.32;1;1;1;1;1;1;1;1;1;0.34;0.33;0.28;0.14;1;1;0.27;0.23;0.26;1;1;0.23;0.23;1;1;0.15;1;1;1;1;1
;38;I n einer ſtat die waʒ genant;;an eyneꝛ ſtat de was ge nand~;Jn eyne͛ ſtadt was genant;Jn eyner ſtat dye was genant;w nirt ſot geraet.;An eyner ſtad de was ghenant;;;1;0.31;0.31;0.17;0.62;0.24;1;1;1;1;1;1;1;1;1;0.28;0.21;0.72;0.21;1;1;0.18;0.64;0.21;1;1;0.64;0.14;1;1;0.64;1;1;1;1;1
;39;N aʒareht vn̄ wol bekant;;naſſaret vnde wol be cand~;Naʒareth vnd wol bekant;Nazareth vnde wol bekant;naʒarech vnd wol erchant.;naʒareth vn̄ waſ bekant;;;1;0.38;0.17;0.25;0.33;0.21;1;1;1;1;1;1;1;1;1;0.31;0.27;0.38;0.42;1;1;0.08;0.21;0.13;1;1;0.29;0.21;1;1;0.33;1;1;1;1;1
;40;waʒ ein richer man geſeʒʒen;;Dar was en rike man be ſeten~;do was eȳ reycher mā geſeſſn̄;da was ein richer man geſeſſen;D o waʒ ein reicher man geſeʒʒen.;Dar was eȳ rike man gheſeten;;;1;0.48;0.48;0.2;0.16;0.45;1;1;1;1;1;1;1;1;1;0.52;0.33;0.41;0.21;1;1;0.3;0.34;0.52;1;1;0.19;0.3;1;1;0.38;1;1;1;1;1
;41;Ʒ uͦ aller tuͦgent wol vermeʒʒen;;to allen dogeden wal voꝛ meten~;In aller tugent wol ve͛ meſſe;ʒu allen tugent volkon meſſen;ʒvͦ aller tugent wol vernieʒʒen.;Do aller dughet wol vor metē;;;1;0.56;0.31;0.34;0.16;0.44;1;1;1;1;1;1;1;1;1;0.48;0.48;0.55;0.35;1;1;0.31;0.29;0.34;1;1;0.39;0.48;1;1;0.42;1;1;1;1;1
;42;her waʒ geheiʒʒin ioachim;;he was ge heten yoachim~;Er was genānt Ioachim;Er was geheißen yoachim;E r waʒ gehaiʒʒen ioachim;ho was ghe heytē ioachim;;;1;0.36;0.36;0.24;0.16;0.4;1;1;1;1;1;1;1;1;1;0.38;0.25;0.44;0.29;1;1;0.3;0.36;0.33;1;1;0.24;0.38;1;1;0.48;1;1;1;1;1
;43;Noch gotes dinſte ſtuͦnt ime ſin ſein;Nach gotes;na gades gades denſte ſtund al ʒin ſin~;Nach gotʒ dinſt ſtūdt alle ſeȳ ſin;nach gotes dinſte ſtunt alle ſyn ſyn;nach gotes dienſte ſtuͦnt ſein ſin.;Na goddes denſte ſtūt alſyn ſyn;;;0.76;0.46;0.38;0.22;0.19;0.43;1;1;0.85;0.74;0.72;0.71;0.84;1;1;0.56;0.41;0.41;0.36;1;1;0.22;0.4;0.43;1;1;0.25;0.28;1;1;0.38;1;1;1;1;1
;44;Er waʒ geboꝛn von deme geſlechte;Er was geboꝛn von;he was ghe baꝛen van deme ſlechte~;er was gebo͛n van dem geſlegt;Er was geborn von dem geſlehte;E r waʒ geborn von dem geſlachte.;he was ghebore vā dem ſclechte;;;0.5;0.32;0.22;0.12;0.12;0.38;1;1;0.62;0.48;0.47;0.53;0.63;1;1;0.41;0.38;0.44;0.26;1;1;0.13;0.25;0.43;1;1;0.12;0.33;1;1;0.38;1;1;1;1;1
;45;d es kuͦniges dauides mit alleine rechte;Des kvniges dauid vō a;Des conyiges dauetes myt alme rechte.;Do konigk dauidis mit allm̄ rechtn̄;könig davides mit alme rechte;des chuniges dandes mit allein rechte.;Des kōnigh dauites mit allem rechte;;;0.53;0.3;0.35;0.35;0.17;0.23;1;1;0.56;0.63;0.76;0.59;0.57;1;1;0.39;0.36;0.27;0.25;1;1;0.31;0.41;0.29;1;1;0.38;0.29;1;1;0.27;1;1;1;1;1
;46;Alles ſin herʒe ſtuͦnt ime ʒuͦ gotte;allez ſin herze ſtvͦnt im ze got‧;al ʒin heꝛte dat ſtund to gade~;alle ſeyn he͛tʒ ſtundt ʒu got;als ſyn hertʒe ſstunt ʒu gote;a lles ſein hertʒe ſtuͦnt ʒv gote.;Al ſyn herte ſtūt to godde;;;0.25;0.61;0.42;0.33;0.28;0.47;1;1;0.61;0.45;0.45;0.36;0.48;1;1;0.58;0.52;0.58;0.42;1;1;0.28;0.27;0.45;1;1;0.24;0.31;1;1;0.42;1;1;1;1;1
;47;v nde lebete gar nach ſime gebotte;Vn̄ lebte gar nach ſinem gebot‧;unde leuede gans na ſinem bade~;Vand lebʒ heran mach ſein gebot;vnde lebet recht nach ſyne gebote;vnd lebte gar nach ſeinem gebote;vnd leuede gar na ſyneme ghebode;;;0.24;0.47;0.41;0.29;0.21;0.35;1;1;0.52;0.42;0.36;0.09;0.34;1;1;0.68;0.55;0.47;0.34;1;1;0.39;0.34;0.56;1;1;0.33;0.45;1;1;0.31;1;1;1;1;1
;48;Sin guͦt telit he gerne mit armen;Sein gvͦt teîlt er gern mit dē armē‧;ſin gut delde he myt den aꝛmen~;Seyn güt deylt er mit den a͛men;ſyn gut teylt er gerne den armen;S ein guͦt teilt er gern den armen.;syn gud delde he myt den armen;;;0.33;0.45;0.55;0.3;0.29;0.42;1;1;0.53;0.42;0.39;0.31;0.5;1;1;0.39;0.41;0.47;0.16;1;1;0.31;0.32;0.32;1;1;0.21;0.38;1;1;0.44;1;1;1;1;1
;49;A uͦch ſo lieʒ er ſich er barmen;Avch liez er ſich erbarmen‧;Doch let he ʒik voꝛ barmen~;Auch liß er ſich erba͛men;auch ließ er ſich erbarmen;ouch ſo lieʒ er ſich erbarmen.;Doch let he ſik erbarmē;;;0.28;0.56;0.28;0.22;0.12;0.5;1;1;0.52;0.19;0.11;0.24;0.41;1;1;0.56;0.52;0.59;0.3;1;1;0.08;0.24;0.44;1;1;0.17;0.38;1;1;0.45;1;1;1;1;1
;50;v ber die ſiechen vngemach;Vber der ſiechen vngemach‧;aueꝛ deꝛ ʒeken unghe mak~;ml alle dē ſichen wegemach;vber der ſychen vngemach;v͛ ber der ſiechen vngemach.;Ouer de ʒele unge mach;;;0.15;0.58;0.42;0.19;0.11;0.42;1;1;0.54;0.5;0.12;0.11;0.42;1;1;0.69;0.52;0.56;0.32;1;1;0.46;0.41;0.62;1;1;0.15;0.42;1;1;0.44;1;1;1;1;1
;51;Swoꝛnne ſo daʒ er daʒ geſach;Swenne ſo daz er geſach‧;ſo wen er dat he ʒach~;Wen her das an ſach;ſiechen ſo er das er ſach;ſwen er daʒ an geſach.;So man he dar gheſach;;;0.29;0.57;0.57;0.54;0.43;0.5;1;1;0.58;0.5;0.48;0.38;0.5;1;1;0.41;0.48;0.41;0.45;1;1;0.4;0.24;0.48;1;1;0.48;0.56;1;1;0.57;1;1;1;1;1
;52;h er nam ein kuͦniginen vō ſime geſlechte;Er nam ein kônn vō ſinē geſlæht‧;he nam eyne vꝛowe van ſinem ſlecht;Her nam eyn frawe ſime geſlecht;Joachme ein frauwe von dem geſlehte;E r mim ein chon vō ſeine geſlachte.;he nam ene vrowē vā ſime ſclechte;;;0.34;0.49;0.37;0.56;0.39;0.44;1;1;0.53;0.44;0.57;0.31;0.55;1;1;0.38;0.57;0.54;0.26;1;1;0.49;0.46;0.39;1;1;0.6;0.6;1;1;0.51;1;1;1;1;1
;53;d aʒ tet er nach der iuden rechte;Daz tet er nach der ivden reht;Da dede he na deꝛ yaden ꝛechte~;Das thet her nach de͛ iuden recht;da ſelbes nach der Juden rechte;daʒ tet er nach der iuden rechte.;Dat dedehe na der ſudē rechte;;;0.15;0.42;0.18;0.21;0.03;0.36;1;1;0.48;0.18;0.29;0.12;0.47;1;1;0.42;0.42;0.41;0.29;1;1;0.3;0.15;0.39;1;1;0.19;0.35;1;1;0.34;1;1;1;1;1
;54;d ie frauwe was geheiʒʒen anna;Dev vrowe was gehaizzen anne‧;de vꝛowe was ge hetten anne~;Dy fraw di was geheiſſen anna;dye frauwe waʒ geheiſſen an;d ie frawe waʒ gehaiʒʒen anne.;De vrowe was ghe heten anne;;;0.37;0.4;0.3;0.23;0.13;0.37;1;1;0.28;0.41;0.41;0.31;0.28;1;1;0.45;0.46;0.41;0.14;1;1;0.28;0.38;0.41;1;1;0.28;0.44;1;1;0.38;1;1;1;1;1
;55;d ie wart gegeben eine heilgē mana;De wart gegebē einē heligē māne‧;De waꝛt ge geuen deme higē mane.;dy wa͛t gegebn̄ dem heylichn̄ māne;die wart gegeben dem heyligen man;div wart gegeben dem heiligē mane.;De wart ghegheuē deme hilghē māne;;;0.29;0.32;0.53;0.29;0.24;0.41;1;1;0.41;0.41;0.39;0.33;0.33;1;1;0.44;0.33;0.27;0.27;1;1;0.29;0.32;0.41;1;1;0.15;0.42;1;1;0.36;1;1;1;1;1
;56;d ie frauwe begunde auch in er iugēt;Dev vrow dev begvnde ovch in ir ivgēt‧;de vꝛouwe gude yn eꝛeꝛ yoget~;Dy fraw be gende auß irer ivgent;die frauwe begonde in ir jugent;D iv frawe begunde in ir iungde.;De vrowe beghūde ok ī irer iugēt;;;0.39;0.56;0.39;0.31;0.31;0.36;1;1;0.61;0.5;0.5;0.47;0.37;1;1;0.59;0.55;0.65;0.53;1;1;0.41;0.5;0.44;1;1;0.29;0.47;1;1;0.5;1;1;1;1;1
;57;Mit ſchonen ʒuͦchten vn̄ reẏner tugēt;Mit ſchonen zvhten vn̄ rain͛ tvgēt‧;myt ſconen tuchten vnde ꝛeyner doget.;Mit ſchonē ʒuchtn̄ vnd mit tugent;mit schoner ʒucht vnde mit reyner tugent;mit ſchonen ʒuchten vn̄ ib rvgte.;myt ſchonē tuchtē vn dugēt;;;0.27;0.3;0.38;0.33;0.3;0.43;1;1;0.44;0.46;0.5;0.29;0.51;1;1;0.47;0.38;0.42;0.44;1;1;0.33;0.36;0.36;1;1;0.45;0.55;1;1;0.44;1;1;1;1;1
;58;G ode vn̄ auch den Iuͦden allen;Got vn̄ ovch den levten allen‧;gade vnde ok den luden allen~;Got vnd auch den leuten geſellich;gote vnde auch den luten allen;G ot vnd ouch den levten allen.;godde vn̄ den luden allen;;;0.32;0.35;0.45;0.23;0.26;0.29;1;1;0.4;0.33;0.27;0.13;0.4;1;1;0.52;0.27;0.37;0.28;1;1;0.3;0.3;0.55;1;1;0.2;0.33;1;1;0.43;1;1;1;1;1
;59;Weſen lieb vnde wol gevallen;Weſen liep vn̄ wol gevallen‧;weʒen leff vnde wol be vallen~;;weſen lip vnde wol gefallen;weſen liep vnd wol genallen.;Weʒen leff vn̄ wol gheuallē;;;0.14;0.23;1;0.11;0.11;0.36;1;1;0.3;1;0.18;0.11;0.32;1;1;1;0.27;0.3;0.3;1;1;1;1;1;1;1;0.11;0.37;1;1;0.33;1;1;1;1;1
